area,year,month,day,popu,death,recover
美国,2020,04,01,328000000,0.007382,0.004316
美国,2020,05,15,328000000,0.008562,0.000809
美国,2020,07,01,328000000,0.010434,0.000363
美国,2020,08,15,328000000,0.006110,0.000234
美国,2020,10,01,328000000,0.005326,0.000167
美国,2020,11,15,328000000,0.009083,0.000238
巴西,2020,04,01,209000000,0.055360,0.010202
巴西,2020,05,15,209000000,0.049468,0.004496
巴西,2020,07,01,209000000,0.072089,0.001969
巴西,2020,08,15,209000000,0.073168,0.001635
巴西,2020,10,01,209000000,0.043869,0.001123
巴西,2020,11,15,209000000,0.058581,0.001112
俄罗斯,2020,04,01,146000000,0.013250,0.001353
俄罗斯,2020,05,15,146000000,0.032765,0.000671
俄罗斯,2020,07,01,146000000,0.033723,0.000706
俄罗斯,2020,08,15,146000000,0.030679,0.000608
俄罗斯,2020,10,01,146000000,0.027632,0.000805
俄罗斯,2020,11,15,146000000,0.049681,0.001025
日本,2020,04,01,126000000,0.009073,0.001914
日本,2020,05,15,126000000,0.077954,0.002775
日本,2020,07,01,126000000,0.060095,0.000327
日本,2020,08,15,126000000,0.088819,0.001104
日本,2020,10,01,126000000,0.079347,0.000916
日本,2020,11,15,126000000,0.088557,0.001089
德国,2020,04,01,82000000,0.073182,0.003998
德国,2020,05,15,82000000,0.082837,0.004016
德国,2020,07,01,82000000,0.081701,0.000973
德国,2020,08,15,82000000,0.071883,0.000285
德国,2020,10,01,82000000,0.058565,0.000494
德国,2020,11,15,82000000,0.060676,0.001164
法国,2020,04,01,67000000,0.033863,0.019187
法国,2020,05,15,67000000,0.004268,0.000727
法国,2020,07,01,67000000,0.000674,0.000125
法国,2020,08,15,67000000,0.000768,0.000083
法国,2020,10,01,67000000,0.000743,0.000177
法国,2020,11,15,67000000,0.000622,0.000237
英国,2020,04,01,66000000,0.000101,0.010531
英国,2020,05,15,66000000,0.000000,0.001027
英国,2020,07,01,66000000,0.000000,0.000108
英国,2020,08,15,66000000,0.000000,0.000031
英国,2020,10,01,66000000,0.000000,0.000196
英国,2020,11,15,66000000,0.000000,0.000280
意大利,2020,04,01,60000000,0.019001,0.005428
意大利,2020,05,15,60000000,0.039681,0.001929
意大利,2020,07,01,60000000,0.022434,0.000921
意大利,2020,08,15,60000000,0.015688,0.000690
意大利,2020,10,01,60000000,0.016238,0.000574
意大利,2020,11,15,60000000,0.031058,0.000905
韩国,2020,04,01,51000000,0.045169,0.000984
韩国,2020,05,15,51000000,0.036177,0.000709
韩国,2020,07,01,51000000,0.056068,0.000662
韩国,2020,08,15,51000000,0.038445,0.000484
韩国,2020,10,01,51000000,0.056259,0.001073
韩国,2020,11,15,51000000,0.037105,0.000552
波兰,2020,04,01,38000000,0.014868,0.003496
波兰,2020,05,15,38000000,0.021768,0.001031
波兰,2020,07,01,38000000,0.043419,0.000836
波兰,2020,08,15,38000000,0.045651,0.000682
波兰,2020,10,01,38000000,0.031212,0.001426
波兰,2020,11,15,38000000,0.053770,0.001172
澳大利亚,2020,04,01,25000000,0.064707,0.001006
澳大利亚,2020,05,15,25000000,0.032989,0.000257
澳大利亚,2020,07,01,25000000,0.040872,0.000759
澳大利亚,2020,08,15,25000000,0.038493,0.001923
澳大利亚,2020,10,01,25000000,0.003315,0.000145
澳大利亚,2020,11,15,25000000,0.001310,0.000008
